Product Name,Sub Product,Issue,Sub Issue,Company,State Name,Zip Code,Submitted via,Date Sent to Company,Company Response to Consumer,Timely Response,Consumer Disputed,Complaint ID,Date Recieved
Debt collection,I do not know,Communication tactics,Called outside of 8am-9pm,Experian,CA,94015,Web,2014-09-02,Closed with explanation,Yes,No,1002209,2014-08-26
Student loan,Non-federal student loan,Can't repay my loan,Can't decrease my monthly payments,"Navient Solutions, Inc.",IL,62898,Web,2014-09-01,Closed with monetary relief,Yes,No,1009179,2014-09-01
Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt was paid,"Portfolio Recovery Associates, Inc.",NJ,7042,Web,2014-09-01,Closed with explanation,Yes,Yes,1009265,2014-09-01
Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt was paid,HSBC North America Holdings Inc.,NJ,7042,Web,2014-09-03,Closed with explanation,Yes,No,1009266,2014-09-01
Debt collection,Credit card,Communication tactics,Frequent or repeated calls,"Portfolio Recovery Associates, Inc.",TX,75670,Web,2014-08-22,Closed with non-monetary relief,Yes,No,994878,2014-08-21
Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,"EOS Holdings, Inc.",SC,29223,Web,2014-09-10,Closed with explanation,Yes,No,1015857,2014-09-05
Payday loan,Payday loan,Charged fees or interest I didn't expect,Charged fees or interest I didn't expect,"GVA Holdings, LLC",IL,60620,Web,2014-09-10,Closed with monetary relief,Yes,No,1015861,2014-09-05
Debt collection,Payday loan,False statements or representation,Attempted to collect wrong amount,Delbert Services,NJ,7828,Phone,2014-08-26,Closed with explanation,Yes,No,994900,2014-08-21
Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was discharged in bankruptcy,"Receivable Management Group, Inc. (GA)",FL,32724,Web,2014-09-05,Closed with explanation,Yes,No,1009197,2014-09-01
Debt collection,I do not know,Communication tactics,Frequent or repeated calls,"Expert Global Solutions, Inc.",PA,18252,Web,2014-08-21,Closed with explanation,Yes,No,994916,2014-08-21
Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,"Mercantile Adjustment Bureau, LLC",TX,75214,Web,2014-09-05,Closed with explanation,Yes,No,1015879,2014-09-05
Student loan,Non-federal student loan,Dealing with my lender or servicer,Don't agree with fees charged,"Navient Solutions, Inc.",NC,28768,Web,2014-08-21,Closed with explanation,Yes,No,994936,2014-08-21
Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,ERC,MO,64133,Web,2014-09-01,Closed with non-monetary relief,Yes,No,1009221,2014-09-01
Debt collection,"Other (i.e. phone, health club, etc.)",Taking/threatening an illegal action,Threatened arrest/jail if do not pay,Sterling Jewelers Inc.,WI,54703,Phone,2014-09-10,Closed with explanation,Yes,No,1015914,2014-09-05
Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,Encore Capital Group,FL,32401,Web,2014-08-26,Closed with explanation,Yes,Yes,1002262,2014-08-26
Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,"PayPal Holdings, Inc.",PA,19401,Referral,2014-08-20,Closed with explanation,Yes,No,986899,2014-08-15
Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt is not mine,"First National Collection Bureau, Inc.",CA,95816,Phone,2014-08-20,Closed with explanation,Yes,No,986902,2014-08-15
